"area_cont","area_ctry","area_name","area_code","C2020","C2030","C2035","C2040","C2050","C2055","C2060","C2070","C2080","C2085","C2090","C2100"
"America","Antigua and B.","Antigua and B.","ATG",6089,2348,5716,10279,21584,27520,33503,46820,54698,54698,54698,54698
"America","Bahamas","Bahamas","BHS",413811,425802,644691,879780,1355557,1595348,1827710,2197922,2197922,2197922,2197922,2197922
"America","Barbados","Barbados","BRB",7075,6075,10350,14998,26270,32256,38876,48124,48124,48124,48124,48124
"America","Belize","Belize","BLZ",5171143,5116131,7738555,10425116,15830808,18695421,21703969,28209794,35399063,39196776,43154987,51611556
"America","Bolivia","Bolivia","BOL",181645684,187470048,281478113,377038604,570871023,669846149,770730761,978557869,1193885330,1303563248,1414126521,1637129539
"America","Brazil","Brazil – Acre","AC",50337212,47978688,73331960,99602394,159928542,193300281,231086948,310121452,392735932,435980704,484175822,587541168
"America","Brazil","Brazil – Alagoas","AL",197594,211391,317552,426087,1751112,2274138,2274138,2274138,2274138,2274138,2274138,2274138
"America","Brazil","Brazil – Amapa","AP",8976991,7101280,11357919,15982056,28946282,37260197,48503285,75407441,109809766,130865518,159731798,236788934
"America","Brazil","Brazil – Amazonas","AM",152772478,171303804,250997088,329488286,490379557,572389981,657838119,832297531,1011882160,1103978552,1200698247,1403208428
"America","Brazil","Brazil – Bahia","BA",11480247,10130487,16120801,22623152,39140171,48882729,61034714,88131109,120905737,133895329,133895329,133895329
"America","Brazil","Brazil – Ceara","CE",471425,540222,825711,1093248,2008496,2008496,2008496,2008496,2008496,2008496,2008496,2008496
"America","Brazil","Brazil – Espirito Santo","ES",1478808,1818109,2661633,3510257,7110786,10132527,15629386,20788900,20788900,20788900,20788900,20788900
"America","Brazil","Brazil – Goias","GO",2710372,2714552,3815629,4866950,5422132,5422132,5422132,5422132,5422132,5422132,5422132,5422132
"America","Brazil","Brazil – Maranhao","MA",55106092,60320024,88592793,118698744,197096998,258249377,258249377,258249377,258249377,258249377,258249377,258249377
"America","Brazil","Brazil – Mato Grosso","MT",234932370,225154498,339434258,454719576,697906341,825063459,958184064,1241443605,1549360035,1713441255,1886935206,2257095025
"America","Brazil","Brazil – Mato Grosso do Sul","MS",2561788,2581535,4015128,5393626,9349249,11713991,14946840,19431835,19431835,19431835,19431835,19431835
"America","Brazil","Brazil – Minas Gerais","MG",14453789,15358498,23625837,34019518,42484172,42484172,42484172,42484172,42484172,42484172,42484172,42484172
"America","Brazil","Brazil – Para","PA",440505985,513767545,758478283,1002975719,1509073293,1775164806,2049799084,2611386041,3195020937,3495513648,3805921323,4451625158
"America","Brazil","Brazil – Paraiba","PB",65483,81874,108438,137968,894267,894267,894267,894267,894267,894267,894267,894267
"America","Brazil","Brazil – Parana","PR",15177424,15556276,22520724,29441310,45640941,54886249,66138972,91827883,126139863,148269357,162364943,162364943
"America","Brazil","Brazil – Pernambouco","PE",245788,272667,396141,526231,1875411,3002915,3002915,3002915,3002915,3002915,3002915,3002915
"America","Brazil","Brazil – Piaui","PI",1127033,1284143,1845760,2242146,2249434,2249434,2249434,2249434,2249434,2249434,2249434,2249434
"America","Brazil","Brazil – Rio de Janeiro","RJ",2327107,1968567,3302680,4764859,10847124,15545883,23061011,42106542,52563663,52563663,52563663,52563663
"America","Brazil","Brazil – Rio Grande do Norte","RN",41068,43786,63087,82411,386485,386485,386485,386485,386485,386485,386485,386485
"America","Brazil","Brazil – Rio Grande do Sul","RS",5715811,6331898,9905447,13861997,24776236,31806052,40916593,62517168,90137577,103004192,103004192,103004192
"America","Brazil","Brazil – Rondonia","RO",123697424,130199952,186671185,243407796,369449844,439728256,517294829,683381565,860095215,952592682,1051494739,1262847238
"America","Brazil","Brazil – Roraima","RR",63099291,57839956,85157187,112004544,169894928,200323967,234018514,304647676,381006765,420907549,465637564,566221558
"America","Brazil","Brazil – Santa Catarina","SC",11017970,12149827,18043071,23922899,38235677,46580742,57037720,80262952,107229754,123045145,143516283,164629810
"America","Brazil","Brazil – Sao Paulo","SP",6918237,4459165,7613965,11329986,22921801,30694833,41172685,65398581,94053377,110733523,132069436,183382761
"America","Brazil","Brazil – Sergipe","SE",170725,173148,265614,357937,1464754,1464754,1464754,1464754,1464754,1464754,1464754,1464754
"America","Brazil","Brazil – Tocantins","TO",17731983,14996726,22148135,31208112,33408329,33408329,33408329,33408329,33408329,33408329,33408329,33408329
"America","Colombia","Colombia","COL",198344474,216006398,324878152,438971880,675699263,793982229,912126325,1159229907,1428364069,1569731336,1715146144,2015924454
"America","Costa Rica","Costa Rica","CRI",5661386,5296465,8639735,12317486,20439228,24757126,29250089,38838989,49396444,55080923,61054819,73931258
